teste,tempo,media
1,5.027299881,5.965898863
1,5.981000185,5.965898863
1,5.232999802,5.965898863
1,9.054299831,5.965898863
1,5.051399946,5.965898863
1,9.051499844,5.965898863
1,6.039999962,5.965898863
1,3.050199986,5.965898863
1,6.101900101,5.965898863
1,6.030400038,5.965898863
1,5.903899908,5.965898863
1,6.06099987,5.965898863
1,5.070800066,5.965898863
1,6.050899982,5.965898863
1,5.047899961,5.965898863
1,5.966399908,5.965898863
1,9.028199911,5.965898863
1,3.10890007,5.965898863
1,5.204500198,5.965898863
1,6.051200151,5.965898863
1,6.037900209,5.965898863
1,5.977999926,5.965898863
1,6.035000086,5.965898863
1,6.053100109,5.965898863
1,5.051399946,5.965898863
1,6.051200151,5.965898863
1,5.881500006,5.965898863
1,5.042200089,5.965898863
1,5.046999931,5.965898863
1,5.086699963,5.965898863
1,6.036200047,5.965898863
1,5.034199953,5.965898863
1,6.022800207,5.965898863
1,6.050300121,5.965898863
1,6.051500082,5.965898863
1,6.040600061,5.965898863
1,6.043799877,5.965898863
1,2.065299988,5.965898863
1,6.052600145,5.965898863
1,9.065700054,5.965898863
1,5.996999979,5.965898863
1,6.052000046,5.965898863
1,3.070300102,5.965898863
1,5.122200012,5.965898863
1,5.874500036,5.965898863
1,9.068599939,5.965898863
1,6.0479002,5.965898863
1,5.051499844,5.965898863
1,6.050899982,5.965898863
1,3.036299944,5.965898863
1,8.054800034,5.965898863
1,5.052299976,5.965898863
1,3.116500139,5.965898863
1,6.052200079,5.965898863
1,6.193799973,5.965898863
1,6.044900179,5.965898863
1,5.89929986,5.965898863
1,5.05340004,5.965898863
1,9.03579998,5.965898863
1,6.044399977,5.965898863
1,8.054299831,5.965898863
1,6.051700115,5.965898863
1,6.05189991,5.965898863
1,5.049200058,5.965898863
1,5.931200027,5.965898863
1,5.051399946,5.965898863
1,6.029399872,5.965898863
1,6.051800013,5.965898863
1,6.052399874,5.965898863
1,6.051999807,5.965898863
1,3.222100019,5.965898863
1,6.028699875,5.965898863
1,9.052000046,5.965898863
1,6.044699907,5.965898863
1,6.032700062,5.965898863
1,6.05279994,5.965898863
1,6.020799875,5.965898863
1,6.016400099,5.965898863
1,6.040899992,5.965898863
1,6.051100016,5.965898863
1,5.051300049,5.965898863
1,6.024300098,5.965898863
1,6.052299976,5.965898863
1,6.051199913,5.965898863
1,5.982699871,5.965898863
1,8.034699917,5.965898863
1,9.052399874,5.965898863
1,9.052400112,5.965898863
2,2.957400084,4.29611817
2,3.083899975,4.29611817
2,3.027999878,4.29611817
2,8.052699804,4.29611817
2,3.126600027,4.29611817
2,5.847700119,4.29611817
2,5.053100109,4.29611817
2,2.050199986,4.29611817
2,3.051599979,4.29611817
2,5.194400072,4.29611817
2,5.980900049,4.29611817
2,6.051500082,4.29611817
2,3.022099972,4.29611817
2,5.900999784,4.29611817
2,5.137199879,4.29611817
2,2.939500093,4.29611817
2,8.899500132,4.29611817
2,2.235200167,4.29611817
2,3.050800085,4.29611817
2,5.981600046,4.29611817
2,5.022300005,4.29611817
2,2.981600046,4.29611817
2,5.995099783,4.29611817
2,5.051300049,4.29611817
2,3.06340003,4.29611817
2,5.822799921,4.29611817
2,2.050799847,4.29611817
2,3.011199951,4.29611817
2,3.028700113,4.29611817
2,2.050600052,4.29611817
2,2.973599911,4.29611817
2,2.050899982,4.29611817
2,2.050400019,4.29611817
2,2.969300032,4.29611817
2,3.116200209,4.29611817
2,2.948600054,4.29611817
2,5.091500044,4.29611817
2,2.981999874,4.29611817
2,6.072399855,4.29611817
2,8.062699795,4.29611817
2,5.07949996,4.29611817
2,5.001999855,4.29611817
2,2.049999952,4.29611817
2,3.051699877,4.29611817
2,3.059700012,4.29611817
2,6.047100067,4.29611817
2,5.051000118,4.29611817
2,2.973999977,4.29611817
2,3.052200079,4.29611817
2,2.942600012,4.29611817
2,6.052299976,4.29611817
2,3.051700115,4.29611817
2,2.935299873,4.29611817
2,3.312700033,4.29611817
2,5.026900053,4.29611817
2,5.074699879,4.29611817
2,6.008499861,4.29611817
2,3.151199818,4.29611817
2,8.051900148,4.29611817
2,3.051800013,4.29611817
2,8.164900064,4.29611817
2,5.050799847,4.29611817
2,6.043100119,4.29611817
2,2.961299896,4.29611817
2,2.052200079,4.29611817
2,5.058899879,4.29611817
2,2.999899864,4.29611817
2,3.096299887,4.29611817
2,5.141700029,4.29611817
2,3.040400028,4.29611817
2,3.064800024,4.29611817
2,3.052599907,4.29611817
2,5.064500093,4.29611817
2,5.049200058,4.29611817
2,5.051800013,4.29611817
2,5.019399881,4.29611817
2,5.98879981,4.29611817
2,2.977499962,4.29611817
2,3.051700115,4.29611817
2,3.051100016,4.29611817
2,5.007600069,4.29611817
2,2.759399891,4.29611817
2,6.011600018,4.29611817
2,5.023699999,4.29611817
2,5.051100016,4.29611817
2,5.051800013,4.29611817
2,5.024699926,4.29611817
2,8.080499887,4.29611817
